Athina,1896,2
Paris,1900,6
St. Louis,1904,8
Athina,1906,8
London,1908,11
Stockholm,1912,9
Antwerpen,1920,16
Paris,1924,15
Amsterdam,1928,14
Los Angeles,1932,11
Berlin,1936,16
London,1948,20
Helsinki,1952,19
Melbourne,1956,18
Stockholm,1956,1
Roma,1960,19
Tokyo,1964,21
Mexico City,1968,20
Munich,1972,23
Montreal,1976,23
Moskva,1980,23
Los Angeles,1984,25
Seoul,1988,27
Barcelona,1992,29
Atlanta,1996,31
Sydney,2000,34
Athina,2004,34
Beijing,2008,34
London,2012,32
Rio de Janeiro,2016,34
City,Year,1
